Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
NaN,0.17470157737672304,0.17470157737672304,0.3507599313717275,0.5966998531053389,0.3906964757425423,0.4375441887309719,0.19096459795865983,0.5961645319938644,0.8906883526435558,NaN
NaN,0.13643345699049386,0.13643345699049386,0.3708569587576245,0.5966998531053389,0.3906964757425423,0.6375522048272932,0.05668633328878103,0.5671811819754341,0.4084372003835091,NaN
NaN,0.14287812041116008,0.14287812041116008,0.42094020409535426,0.589212707125305,0.3906964757425423,0.4882924913225758,0.12382546562372054,0.555484752722609,0.4084372003835091,NaN
NaN,0.183513694694503,0.183513694694503,0.33108162352482373,0.5910060355037563,0.23145382268312875,0.4994986739760665,0.0,0.509919048642804,0.5087122016752688,NaN
NaN,0.16786272559329257,0.16786272559329257,0.3175687749423504,0.6001760280246404,0.40672632689439425,0.7683152214090339,0.010328360962275407,0.5285024652040858,0.5397205862210656,NaN
NaN,0.1666865102988451,0.1666865102988451,0.2192568458725143,0.588948454914245,0.4223790050779671,0.238748646497854,0.09617994054462775,0.6485059470087496,0.5333709322655236,NaN
NaN,0.15868208516886928,0.15868208516886928,0.3740657698056797,0.5688967086765582,0.593460031540527,0.6741085729775018,0.10576464639911709,0.5392287783636698,0.3964945921851608,NaN
NaN,0.1787144573488186,0.1787144573488186,0.2835903215750218,0.5761649322595149,0.593460031540527,0.6430595598925606,0.10576464639911709,0.5360420881965205,0.3964945921851608,NaN
NaN,0.1882836326668926,0.1882836326668926,0.2573504048049019,0.5672676240803782,0.6131797546604849,0.27801357693297957,0.13385774976572307,0.5297264105072581,0.38965847852679597,NaN
NaN,0.15538959251101322,0.15538959251101322,0.3388947507254019,0.5549001866910926,0.6196027501909855,0.34317143490796187,0.14300807486227474,0.5361441487466537,0.4527818107108615,NaN
NaN,-0.0759038599623513,-0.0759038599623513,0.7808189591739471,-0.03257275807845306,10.746608518141706,0.6024063758300805,4.683756423191305,0.14881326699543282,0.447902815682127,NaN
NaN,-0.07574177118268795,-0.07574177118268795,0.7509306354249399,-0.021992508267835484,11.192182323828897,0.6107731310499427,4.872817555804717,0.15298351396249726,0.1513745627073855,NaN
NaN,-0.07567745023837709,-0.07567745023837709,0.7390701894927945,-0.025618603273352275,11.650307504324179,0.0688195077239372,4.484043959163053,0.1673786695512514,0.9210395928111345,NaN
NaN,-0.0769333166760465,-0.0769333166760465,0.9315059247418583,-0.09279201325055104,7.939493542312402,0.27249878154535906,4.010226138256023,0.13946843875411827,0.40871131930994087,NaN
NaN,-0.07625435963119598,-0.07625435963119598,0.6393816208631194,-0.10574219652778383,6.881389962782938,0.1358531524114794,4.540252190002812,0.13720894545041795,3.0201960944991613,NaN
NaN,-0.07654132201785528,-0.07654132201785528,0.7628484706115961,-0.10990320181621842,7.22548868783317,0.5133702865110212,3.6946439123235724,0.1613113131388131,0.0,NaN
NaN,0.11341494408675026,0.11341494408675026,0.34688432116551343,0.3941549144726946,0.12809226498786108,0.15399985369574987,0.27638244695023184,0.4101450907458699,0.11975122105485082,NaN
NaN,0.14537444933920704,0.14537444933920704,0.3066284809888081,0.3735208332963496,0.0,0.0698747582555097,0.3492459721161594,0.3865730769797287,0.08888270681920922,NaN
